symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
NFLX,NFLX,Netflix,Communication Services,Movies & Entertainment,US,SPY,XLC
NI,NI,NiSource,Utilities,Multi-Utilities,US,SPY,XLU
NKE,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",US,SPY,XLY
NOC,NOC,Northrop Grumman,Industrials,Aerospace & Defense,US,SPY,XLI
NOW,NOW,ServiceNow,Information Technology,Systems Software,US,SPY,XLK
NRG,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,US,SPY,XLU
NSC,NSC,Norfolk Southern,Industrials,Rail Transportation,US,SPY,XLI
NTAP,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
NTRS,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,US,SPY,XLF
NUE,NUE,Nucor,Materials,Steel,US,SPY,XLB
NVDA,NVDA,Nvidia,Information Technology,Semiconductors,US,SPY,XLK
NVR,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,US,SPY,XLY
NWS,NWS,News Corp (Class B),Communication Services,Publishing,US,SPY,XLC
NWSA,NWSA,News Corp (Class A),Communication Services,Publishing,US,SPY,XLC
NXPI,NXPI,NXP Semiconductors,Information Technology,Semiconductors,US,SPY,XLK
O,O,Realty Income,Real Estate,Retail REITs,US,SPY,XLRE
ODFL,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,US,SPY,XLI
OKE,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,US,SPY,XLE
OMC,OMC,Omnicom Group,Communication Services,Advertising,US,SPY,XLC
ON,ON,ON Semiconductor,Information Technology,Semiconductors,US,SPY,XLK
ORCL,ORCL,Oracle Corporation,Information Technology,Application Software,US,SPY,XLK
ORLY,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,US,SPY,XLY
OTIS,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
OXY,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
PANW,PANW,Palo Alto Networks,Information Technology,Systems Software,US,SPY,XLK
PAYX,PAYX,Paychex,Industrials,Human Resource & Employment Services,US,SPY,XLI
PCAR,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,US,SPY,XLI
PCG,PCG,PG&E Corporation,Utilities,Multi-Utilities,US,SPY,XLU
PEG,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,US,SPY,XLU
PEP,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,US,SPY,XLP
PFE,PFE,Pfizer,Health Care,Pharmaceuticals,US,SPY,XLV
PFG,PFG,Principal Financial Group,Financials,Life & Health Insurance,US,SPY,XLF
PG,PG,Procter & Gamble,Consumer Staples,Personal Care Products,US,SPY,XLP
PGR,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,US,SPY,XLF
PH,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
PHM,PHM,PulteGroup,Consumer Discretionary,Homebuilding,US,SPY,XLY
PKG,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,US,SPY,XLB
PLD,PLD,Prologis,Real Estate,Industrial REITs,US,SPY,XLRE
PLTR,PLTR,Palantir Technologies,Information Technology,Application Software,US,SPY,XLK
PM,PM,Philip Morris International,Consumer Staples,Tobacco,US,SPY,XLP
PNC,PNC,PNC Financial Services,Financials,Diversified Banks,US,SPY,XLF
PNR,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
PNW,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,US,SPY,XLU
PODD,PODD,Insulet Corporation,Health Care,Health Care Equipment,US,SPY,XLV
POOL,POOL,Pool Corporation,Consumer Discretionary,Distributors,US,SPY,XLY
PPG,PPG,PPG Industries,Materials,Specialty Chemicals,US,SPY,XLB
PPL,PPL,PPL Corporation,Utilities,Electric Utilities,US,SPY,XLU
PRU,PRU,Prudential Financial,Financials,Life & Health Insurance,US,SPY,XLF
PSA,PSA,Public Storage,Real Estate,Self-Storage REITs,US,SPY,XLRE
PSKY,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,US,SPY,XLC
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,US,SPY,XLE
PTC,PTC,PTC Inc.,Information Technology,Application Software,US,SPY,XLK
PWR,PWR,Quanta Services,Industrials,Construction & Engineering,US,SPY,XLI
PYPL,PYPL,PayPal,Financials,Transaction & Payment Processing Services,US,SPY,XLF
Q,Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,US,SPY,XLK
QCOM,QCOM,Qualcomm,Information Technology,Semiconductors,US,SPY,XLK
RCL,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
REG,REG,Regency Centers,Real Estate,Retail REITs,US,SPY,XLRE
REGN,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,US,SPY,XLV
RF,RF,Regions Financial Corporation,Financials,Regional Banks,US,SPY,XLF
RJF,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,US,SPY,XLF
RL,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",US,SPY,XLY
RMD,RMD,ResMed,Health Care,Health Care Equipment,US,SPY,XLV
ROK,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,US,SPY,XLI
ROL,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,US,SPY,XLI
